,bias,bias_std_err,tau,phi_S2S,phi_w,sigma
EAS_0.080000000000,0.2440941733491398,0.0663705383463174,0.3116747531948739,0.26033501859752267,0.31921417811945674,0.516539606612831
EAS_0.090000000000,0.22448745155232622,0.05923039313525345,0.2691753213957493,0.264771758241965,0.3527759822021787,0.5167304241379236
EAS_0.100000000000,0.2329571899723198,0.06371839214763349,0.29035553666119684,0.28987219204771664,0.4096885151650714,0.5798076446982403
EAS_0.107226722000,0.20584465194954515,0.06551182870151517,0.29520553167514707,0.31685678872577633,0.42865768211222155,0.6093372948761957
EAS_0.114975700000,0.19255400125660627,0.06481004488210237,0.2831542025291593,0.3535782346491093,0.4281693705447238,0.6233160356513939
EAS_0.123284674000,0.16333842069271273,0.06808984553695253,0.2939049554435522,0.39088793789609283,0.43052345953009563,0.6515550260973343
EAS_0.132194115000,0.1339075022870946,0.07119256163188015,0.29741161560780155,0.4473482191013125,0.4377945695604913,0.6929921957484185
EAS_0.141747416000,0.12620462708722482,0.06840447832622633,0.2742660807098797,0.46583356402128595,0.4380827581193334,0.6958011895348944
EAS_0.151991108000,0.10585345848657653,0.06798151197840635,0.2724964675232551,0.46465934893798666,0.4418802103703179,0.69672143334696
EAS_0.162975084000,0.09579491693408632,0.06596737173920485,0.2686223778022886,0.4401709331237061,0.4482567455801205,0.6832587666332797
EAS_0.174752840000,0.1436847446942223,0.06762307275443728,0.2888212670292964,0.41359015438389535,0.46357825149672666,0.6851126442800957
EAS_0.187381742000,0.19077833753134332,0.07505757960822829,0.3370610216162664,0.4121697288554486,0.47528918237393747,0.7137183089703256
EAS_0.200923300000,0.23081651316020316,0.08477116173326153,0.393994560654252,0.4242165694281408,0.47728119591868073,0.7503257636387569
EAS_0.215443469000,0.23995504251025784,0.09003417546893573,0.42424323519642754,0.43062843086365193,0.47603476784128407,0.7694363315257005
EAS_0.231012970000,0.20935750773116363,0.09353078236550634,0.4452748301833989,0.42466398863054655,0.5017610016480836,0.79396050305374
EAS_0.247707636000,0.19210613026065096,0.09823487399993669,0.4716232800295544,0.42849965741671664,0.5165623935455649,0.8202909124802018
EAS_0.265608778000,0.19094642287496347,0.09950720764910746,0.4714302860790453,0.46945699913465755,0.5166363480087547,0.8423476151523855
EAS_0.284803587000,0.21066436253901294,0.10356862561574619,0.4909151658437012,0.4929975290612626,0.5075829436371818,0.861211186868381
EAS_0.305385551000,0.25624730369007215,0.10549703683480022,0.4975909623378524,0.5178593544320238,0.5039177718959157,0.8773301531382622
EAS_0.327454916000,0.33156457433267333,0.10306595444437189,0.4780922509643002,0.5406297982474326,0.5010874385661437,0.8786019578136336
EAS_0.351119173000,0.37005264607913607,0.10609005630565899,0.493613392301678,0.5495211836606227,0.5195603390205809,0.9030895073216847
EAS_0.376493581000,0.3933370879463682,0.11385234488751104,0.5369420538690577,0.560349494096481,0.5393459943060043,0.9450885812034958
EAS_0.403701726000,0.43826844163901146,0.11744096291920425,0.5515069597814555,0.5884223559291464,0.5596378380661939,0.9816289041384195
EAS_0.432876128000,0.4630970494297752,0.11875704290362937,0.5502486370035129,0.628965089585335,0.558848107397316,1.0053267397134498
EAS_0.464158883000,0.516860582555121,0.11996372363232867,0.5521366646940243,0.6536925475631025,0.5457316715575344,1.0148851662035272
EAS_0.497702356000,0.6011428871206208,0.12293133548185804,0.5697093005219408,0.6527223999597069,0.5645821358178605,1.0341026093164138
EAS_0.533669923000,0.6411445566317716,0.12658317467845734,0.5883852804011,0.6654623076153535,0.5761988842606862,1.0587929331425914
EAS_0.572236766000,0.6821915772636298,0.12519277541885734,0.5768306546835831,0.6805792371464624,0.5633263835381439,1.0551105707970685
EAS_0.613590727000,0.7331916934276677,0.12335871640647086,0.5657179672148456,0.6799113608254477,0.567275582491427,1.0507701287628026
EAS_0.657933225000,0.8020912530168998,0.12458389322046046,0.5700497028461471,0.6920240393545201,0.5718693067744892,1.063432385622265
EAS_0.705480231000,0.8651025220051266,0.12461552767241717,0.5606974796970243,0.7301924066042146,0.5640513093679649,1.0796835156659406
EAS_0.756463328000,0.942674837789212,0.12425605032478522,0.5505372432934523,0.7586271558483524,0.5673461218771262,1.0956678510628708
EAS_0.811130831000,1.0497415077034435,0.12344413741318262,0.5378004355022964,0.7837374832967825,0.5751268264342662,1.1109656239664596
EAS_0.869749003000,1.149020650942401,0.12135119979601033,0.522972472015509,0.788479732789319,0.5719134571980846,1.1055702139754824
EAS_0.932603347000,1.2587587603068313,0.12104696604663537,0.5242157496828638,0.7772490932624518,0.5778258874675285,1.1012724737414021
EAS_1.000000000000,1.411124296661572,0.12230531236492637,0.5294243155288049,0.7871180054383974,0.5757926492834944,1.1096765453623725
PGA,0.6862586403187128,0.12052634153329515,0.5571080725078389,0.6483397044102143,0.5404026242395673,1.0113104236846047
PGV,0.37017242268808614,0.11184817846373953,0.525039025506859,0.5688328591493109,0.4865679575036088,0.9143222502063513
CAV,1.2559449019053233,0.11147747783145773,0.4735505639681831,0.7625513973016292,0.3636194425477368,0.9684801852180448
AI,2.0698676516328156,0.23012073591467538,1.027942227713391,1.3972089570519013,0.8619404463251163,1.9369562272270304
Ds575,0.716884920183832,0.08926591195746467,0.43962591387098393,0.3033652185529984,0.580795835693594,0.7890660319223142
Ds595,0.5869642140545794,0.06983539467723132,0.3289227520622338,0.3317196425126038,0.41317209852465386,0.623649966769942
